序号,题目,作者,来源,发表时间,被引,下载
171,肿瘤相关的三级淋巴结构的检测和量化分析（英文）,杨曼;车雨柔;李柯臻;方曾怡;李思敏,Journal of Zhejiang University-Science B(Biomedicine & Biotechnology),2023-09-03,,165
172,基于多模态控制的混合输入整形控制策略减小机器人振动（英文）,魏玉兰;李兵;欧鹏飞;张清珠,Journal of Central South University,2019-06-15,10,175
173,柔性关节机器人有界自适应输出反馈控制（英文）,Hua-shan LIU;Yong HUANG,Journal of Zhejiang University-Science A(Applied Physics & Engineering),2018-07-03,8,253
185,基于数据分布域变换与贝叶斯神经网络的渗透率预测及不确定性估计,李明轩;韩宏伟;刘浩杰;桑文镜;袁三一,地球物理学报,2023-04-10,1,423
186,用于计算机视觉任务的光场成像技术综述（英文）,贾晨;石凡;赵萌;陈胜勇,Frontiers of Information Technology & Electronic Engineering,2022-07-03,3,626
190,可见光谱图像联合区间的黄瓜白粉病分割与检测,白雪冰;余建树;傅泽田;张领先;李鑫星,光谱学与光谱分析,2019-11-15,6,263
191,室内导航系统视觉标记性能分析（英文）,Gaetano C.LA DELFA;Salvatore MONTELEONE;Vincenzo CATANIA;Juan F.DE PAZ;Javier BAJO,Frontiers of Information Technology & Electronic Engineering,2016-08-03,5,290
197,光学数字化全息——全光学机器学习展望 OA,Min Gu;Xinyuan Fang;Haoran Ren;Elena Goi,Engineering,2019-06-15,10,247
200,水陆两栖仿生机器人的发展与展望（英文）,白向娟;尚建忠;罗自荣;蒋涛;殷谦,Journal of Zhejiang University-Science A(Applied Physics & Engineering),2022-03-03,7,1546
201,基于自适应阈值约束的无监督聚类智能速度拾取,王迪;袁三一;袁焕;曾华会;王尚旭,地球物理学报,2021-03-10,12,371
202,毫米波系统中的通信定位一体化技术（英文）,杨杰;徐靖;李潇;金石;高波,Frontiers of Information Technology & Electronic Engineering,2021-04-03,8,376
203,设计智能研究综述：进展、问题和挑战（英文）,Yong-chuan TANG;Jiang-jie HUANG;Meng-ting YAO;Jia WEI;Wei LI,Frontiers of Information Technology & Electronic Engineering,2019-12-03,15,571
204,综述:利用柔性交流输电系统(FACTS)装置增强电力传输能力（英文）,Fadi M.ALBATSH;Saad MEKHILEF;Shameem AHMAD;H.MOKHLIS;M.A.HASSAN,Frontiers of Information Technology & Electronic Engineering,2015-08-03,40,725
212,地震油气储层的小样本卷积神经网络学习与预测,林年添;张栋;张凯;王守进;付超,地球物理学报,2018-10-15,96,2189
213,基于支持向量机的地震体波震相自动识别及到时自动拾取,蒋一然;宁杰远,地球物理学报,2019-01-15,49,540
214,基于动态不确定性因果图(DUCG)模型的黄疸待查智能诊断研究（英文）,Shao-rui HAO;Shi-chao GENG;Lin-xiao FAN;Jia-jia CHEN;Qin ZHANG,Journal of Zhejiang University-Science B(Biomedicine & Biotechnology),2017-05-03,7,192
215,基于定量属性的单目标视觉跟踪算法评价体系研究（英文）,康文静;刘畅;刘功亮,Frontiers of Information Technology & Electronic Engineering,2020-03-03,1,115
